horizon,regime,n,pnl_avg,hit,fade_avg,counts
5,RANGE,28,-0.0382,0.25,-0.0171,
5,TRANSITIONAL,0,,,,
5,TREND_DOWN,55,-0.0476,0.255,-0.0122,
5,TREND_UP,35,0.066,0.343,-0.1237,YES
15,RANGE,15,-0.056,0.333,-0.002,
15,TRANSITIONAL,0,,,,
15,TREND_DOWN,91,0.0003,0.308,-0.0578,YES
15,TREND_UP,53,-0.0245,0.245,-0.0321,
30,RANGE,42,-0.045,0.214,-0.0124,
30,TRANSITIONAL,0,,,,
30,TREND_DOWN,112,0.0251,0.366,-0.0822,YES
30,TREND_UP,87,-0.0116,0.218,-0.0451,
45,RANGE,71,0.0141,0.662,-0.0718,YES
45,TRANSITIONAL,0,,,,
45,TREND_DOWN,94,-0.0144,0.521,-0.0461,
45,TREND_UP,92,-0.0104,0.424,-0.0457,
60,RANGE,1,-0.15,0.0,0.07,
60,TRANSITIONAL,0,,,,
60,TREND_DOWN,0,,,,
60,TREND_UP,0,,,,
